iter	Passed	Remaining
0	0	751
1	1	705
2	2	698
3	2	686
4	3	682
5	4	663
6	4	648
7	5	637
8	5	627
9	6	622
10	6	615
11	7	612
12	8	621
13	8	620
14	9	617
15	10	616
16	10	610
17	11	609
18	11	605
19	12	601
20	12	597
21	13	596
22	13	593
23	14	591
24	15	588
25	15	587
26	16	584
27	16	580
28	17	579
29	17	576
30	18	575
31	18	572
32	19	573
33	20	571
34	20	573
35	21	572
36	22	572
37	22	572
38	23	572
39	23	572
40	24	571
41	25	570
42	25	569
43	26	568
44	26	566
45	27	565
46	27	565
47	28	563
48	29	563
49	29	563
50	30	563
51	30	561
52	31	563
53	32	562
54	32	562
55	33	562
56	33	561
57	34	559
58	35	558
59	35	559
60	36	557
61	36	556
62	37	557
63	37	555
64	38	553
65	39	552
66	39	551
67	40	549
68	40	547
69	41	546
70	41	544
71	42	543
72	42	541
73	43	540
74	43	538
75	44	537
76	44	535
77	45	534
78	45	532
79	46	531
80	46	530
81	47	528
82	47	525
83	48	524
84	48	523
85	49	522
86	49	521
87	50	520
88	50	518
89	51	518
90	51	516
91	52	515
92	52	513
93	53	512
94	53	511
95	54	509
96	54	508
97	55	506
98	55	505
99	56	504
100	56	502
101	56	501
102	57	499
103	57	498
104	58	497
105	58	496
106	59	495
107	59	494
108	60	493
109	60	491
110	61	490
111	61	489
112	62	488
113	62	487
114	63	486
115	63	485
116	64	483
117	64	482
118	65	481
119	65	480
120	65	479
121	66	477
122	66	476
123	67	475
124	67	474
125	68	473
126	68	472
127	69	471
128	69	470
129	70	469
130	70	468
131	71	467
132	71	465
133	71	464
134	72	463
135	72	462
136	73	461
137	73	460
138	74	459
139	74	458
140	75	457
141	75	455
142	75	454
143	76	454
144	76	453
145	77	453
146	77	452
147	78	451
148	78	450
149	79	450
150	79	449
151	80	448
152	80	447
153	81	446
154	81	446
155	82	445
156	82	444
157	83	443
158	83	443
159	84	442
160	84	440
161	84	439
162	85	438
163	85	437
164	86	437
165	86	436
166	87	435
167	87	434
168	88	433
169	88	432
170	89	432
171	89	431
172	90	432
173	91	432
174	91	431
175	92	430
176	92	430
177	92	429
178	93	428
179	93	427
180	94	427
181	94	426
182	95	425
183	95	424
184	96	423
185	96	422
186	97	422
187	97	421
188	98	420
189	98	419
190	98	419
191	99	418
192	99	417
193	100	416
194	100	416
195	101	415
196	102	415
197	102	415
198	102	414
199	103	413
200	103	412
201	104	412
202	104	411
203	105	411
204	106	411
205	106	410
206	107	410
207	107	409
208	108	408
209	108	408
210	109	407
211	109	407
212	109	406
213	110	405
214	110	404
215	111	404
216	111	403
217	112	402
218	112	402
219	113	401
220	113	401
221	114	400
222	114	400
223	115	399
224	115	399
225	116	398
226	116	398
227	117	397
228	118	397
229	118	396
230	119	396
231	119	395
232	120	395
233	120	394
234	121	393
235	121	393
236	121	392
237	122	391
238	122	391
239	123	390
240	123	390
241	124	389
242	124	389
243	125	388
244	125	388
245	126	387
246	126	386
247	127	386
248	127	385
249	128	384
250	128	384
251	129	383
252	129	382
253	130	382
254	130	381
255	131	380
256	131	380
257	132	379
258	132	378
259	133	378
260	133	377
261	133	377
262	134	376
263	134	376
264	135	375
265	135	374
266	136	374
267	136	373
268	137	373
269	137	372
270	138	371
271	138	371
272	139	370
273	139	370
274	140	369
275	140	369
276	141	368
277	141	367
278	142	367
279	142	366
280	143	366
281	143	365
282	144	365
283	144	364
284	145	363
285	145	363
286	146	362
287	146	362
288	147	362
289	147	361
290	148	361
291	148	360
292	149	360
293	149	359
294	150	358
295	150	358
296	151	357
297	151	357
298	152	356
299	152	356
300	153	355
301	153	355
302	154	354
303	154	354
304	155	353
305	155	352
306	156	352
307	156	351
308	157	351
309	157	351
310	158	350
311	158	350
312	159	349
313	159	349
314	160	348
315	160	348
316	161	347
317	162	347
318	162	347
319	163	346
320	163	345
321	164	345
322	164	344
323	165	344
324	165	343
325	165	343
326	166	342
327	166	342
328	167	341
329	167	340
330	168	340
331	168	339
332	169	339
333	169	338
334	170	337
335	170	337
336	171	336
337	171	336
338	172	335
339	172	335
340	173	334
341	173	333
342	174	333
343	174	332
344	174	332
345	175	331
346	176	331
347	176	330
348	176	330
349	177	329
350	178	329
351	178	328
352	179	328
353	179	327
354	179	326
355	180	326
356	180	325
357	181	325
358	181	324
359	182	324
360	182	323
361	183	322
362	183	322
363	184	321
364	184	321
365	185	320
366	185	320
367	186	319
368	186	319
369	187	318
370	187	318
371	188	317
372	188	317
373	189	316
374	189	315
375	190	315
376	190	314
377	190	314
378	191	313
379	191	313
380	192	312
381	192	311
382	193	311
383	193	310
384	194	310
385	194	309
386	195	309
387	195	308
388	196	307
389	196	307
390	197	307
391	197	306
392	198	305
393	198	305
394	199	304
395	199	304
396	199	303
397	200	303
398	200	302
399	201	302
400	201	301
401	202	300
402	202	300
403	203	299
404	203	299
405	204	298
406	204	298
407	205	297
408	205	297
409	206	296
410	206	295
411	206	295
412	207	294
413	208	294
414	208	293
415	208	293
416	209	292
417	209	292
418	210	291
419	210	291
420	211	290
421	211	290
422	212	289
423	212	288
424	213	288
425	213	287
426	214	287
427	214	286
428	214	286
429	215	285
430	215	284
431	216	284
432	216	283
433	217	283
434	217	283
435	218	282
436	218	282
437	219	281
438	219	281
439	220	280
440	221	280
441	221	279
442	221	279
443	222	278
444	222	278
445	223	277
446	223	277
447	224	276
448	224	276
449	225	275
450	225	274
451	226	274
452	226	273
453	227	273
454	227	272
455	228	272
456	228	271
457	229	271
458	229	270
459	230	270
460	230	269
461	231	269
462	231	268
463	232	268
464	232	267
465	233	267
466	233	266
467	234	266
468	234	265
469	235	265
470	235	264
471	236	264
472	236	263
473	237	263
474	237	262
475	237	261
476	238	261
477	238	260
478	239	260
479	239	259
480	240	259
481	240	258
482	241	258
483	241	257
484	242	257
485	242	256
486	243	255
487	243	255
488	244	255
489	244	254
490	245	254
491	245	253
492	246	253
493	246	252
494	247	252
495	247	251
496	248	251
497	248	250
498	249	250
499	249	249
500	250	249
501	250	248
502	251	248
503	251	247
504	252	247
505	252	246
506	252	245
507	253	245
508	253	244
509	254	244
510	254	243
511	255	243
512	255	242
513	256	242
514	256	241
515	257	241
516	257	240
517	258	240
518	258	239
519	259	239
520	259	238
521	260	238
522	260	238
523	261	237
524	262	237
525	262	236
526	263	236
527	263	235
528	264	235
529	264	234
530	265	234
531	265	233
532	266	233
533	266	232
534	267	232
535	268	232
536	268	231
537	268	230
538	269	230
539	269	229
540	270	229
541	270	228
542	271	228
543	271	227
544	272	227
545	272	226
546	273	226
547	273	225
548	274	225
549	274	224
550	275	224
551	275	223
552	276	223
553	276	222
554	276	222
555	277	221
556	277	220
557	278	220
558	278	219
559	279	219
560	279	218
561	280	218
562	280	217
563	281	217
564	281	216
565	282	216
566	282	215
567	283	215
568	283	214
569	284	214
570	284	213
571	284	213
572	285	212
573	285	212
574	286	211
575	286	211
576	287	210
577	287	210
578	288	209
579	288	209
580	289	208
581	289	208
582	290	207
583	290	207
584	291	206
585	291	206
586	292	205
587	293	205
588	293	204
589	294	204
590	294	203
591	294	203
592	295	202
593	295	202
594	296	201
595	296	201
596	297	200
597	297	200
598	298	199
599	298	199
600	299	198
601	299	198
602	300	197
603	300	197
604	301	196
605	301	196
606	302	195
607	302	195
608	303	194
609	303	194
610	304	193
611	304	193
612	305	192
613	305	192
614	306	191
615	306	191
616	306	190
617	307	190
618	307	189
619	308	189
620	308	188
621	309	187
622	309	187
623	310	186
624	310	186
625	311	185
626	311	185
627	312	184
628	312	184
629	312	183
630	313	183
631	313	182
632	314	182
633	314	181
634	315	181
635	315	180
636	316	180
637	316	179
638	317	179
639	317	178
640	318	178
641	318	177
642	319	177
643	319	176
644	320	176
645	320	175
646	321	175
647	321	174
648	322	174
649	322	173
650	323	173
651	323	172
652	324	172
653	324	171
654	325	171
655	325	170
656	326	170
657	326	169
658	327	169
659	327	168
660	328	168
661	328	167
662	329	167
663	329	166
664	330	166
665	330	165
666	331	165
667	331	164
668	332	164
669	332	163
670	333	163
671	333	162
672	334	162
673	334	161
674	335	161
675	335	160
676	336	160
677	336	159
678	337	159
679	337	158
680	337	158
681	338	157
682	338	157
683	339	156
684	339	156
685	340	155
686	340	155
687	341	154
688	341	154
689	342	153
690	342	153
691	343	152
692	343	152
693	344	151
694	344	151
695	345	150
696	345	150
697	346	149
698	346	149
699	347	148
700	347	148
701	347	147
702	348	147
703	348	146
704	349	146
705	349	145
706	350	145
707	350	144
708	351	144
709	351	143
710	352	143
711	352	142
712	353	142
713	353	141
714	354	141
715	354	140
716	355	140
717	355	139
718	356	139
719	356	138
720	357	138
721	357	137
722	358	137
723	358	136
724	359	136
725	359	135
726	360	135
727	360	134
728	361	134
729	361	133
